experiment,model,seed,alignment,source_threshold,source_oof_f1,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
NPM -> PyPI,LogisticRegression,0,source_threshold_no_alignment,0.37,0.9606625258799172,0.494572591587517,0.4945725915875169,0.25,0.005427408412483,0.0106241699867197,0.3690085406199544,725,12,733,4,745,0.37
NPM -> PyPI,LinearSVM,0,source_threshold_no_alignment,0.46,0.727562400424854,0.4993215739484396,0.4993215739484396,0.4996605566870332,0.9986431478968792,0.6660633484162896,0.3008437521287113,0,737,1,736,738,0.46
NPM -> PyPI,RandomForest,0,source_threshold_no_alignment,0.53,0.9731219848380428,0.4674355495251017,0.4674355495251017,0.4758064516129032,0.6404341926729986,0.5459803354540197,0.6524304590284056,217,520,265,472,785,0.53
NPM -> PyPI,ExtraTrees,0,source_threshold_no_alignment,0.53,0.9779310344827586,0.533921302578019,0.533921302578019,1.0,0.0678426051560379,0.1270648030495552,0.6810697959566913,737,0,687,50,687,0.53
NPM -> PyPI,HistGradientBoosting,0,source_threshold_no_alignment,0.11,0.9761092150170648,0.5,0.5,0.5,1.0,0.6666666666666666,0.7941837623281152,0,737,0,737,737,0.11
NPM -> PyPI,XGBoost,0,source_threshold_no_alignment,0.39,0.9774744027303754,0.5,0.5,0.5,1.0,0.6666666666666666,0.7776502340892062,0,737,0,737,737,0.39
NPM -> PyPI,LightGBM,0,source_threshold_no_alignment,0.23,0.9774127310061602,0.5,0.5,0.5,1.0,0.6666666666666666,0.7979588304929037,0,737,0,737,737,0.23
NPM -> PyPI,CatBoost,0,source_threshold_no_alignment,0.58,0.975206611570248,0.3751696065128901,0.3751696065128901,0.4268680445151033,0.728629579375848,0.5383458646616541,0.5153543372320586,16,721,200,537,921,0.58
NPM -> PyPI,LogisticRegression,1,source_threshold_no_alignment,0.34,0.9602194787379972,0.494572591587517,0.4945725915875169,0.25,0.005427408412483,0.0106241699867197,0.3690085406199544,725,12,733,4,745,0.34
NPM -> PyPI,LinearSVM,1,source_threshold_no_alignment,0.64,0.7896857373086221,0.4993215739484396,0.4993215739484396,0.4996605566870332,0.9986431478968792,0.6660633484162896,0.3008437521287113,0,737,1,736,738,0.64
NPM -> PyPI,RandomForest,1,source_threshold_no_alignment,0.57,0.9723756906077348,0.4667571234735413,0.4667571234735413,0.4760975609756097,0.6621438263229308,0.5539160045402951,0.593834515592753,200,537,249,488,786,0.57
NPM -> PyPI,ExtraTrees,1,source_threshold_no_alignment,0.53,0.974465148378192,0.5345997286295794,0.5345997286295794,1.0,0.0691994572591587,0.1294416243654822,0.7786453203330823,737,0,686,51,686,0.53
NPM -> PyPI,HistGradientBoosting,1,source_threshold_no_alignment,0.09,0.978839590443686,0.5,0.5,0.5,1.0,0.6666666666666666,0.7941837623281152,0,737,0,737,737,0.09
NPM -> PyPI,XGBoost,1,source_threshold_no_alignment,0.5,0.975206611570248,0.5006784260515604,0.5006784260515604,0.5003394433129668,1.0,0.6669683257918552,0.7660240183073777,1,736,0,737,736,0.5
