setting,model,accuracy_mean,accuracy_std,precision_mean,precision_std,malicious_recall_mean,malicious_recall_std,f1_mean,f1_std,auc_mean,auc_std
NPM -> NPM,HistGradientBoosting,0.9776063645797304,0.0076324182662481,0.9890212934488865,0.0111239663278943,0.966087516087516,0.0105038062456574,0.9773603588033212,0.0076348683978615,0.9942133720559376,0.0034974351846274
NPM -> NPM,CatBoost,0.9742188400784044,0.0066465510843949,0.9848532979841378,0.0099153313781886,0.9633756205184778,0.0081090461014371,0.9739568749977556,0.0065834952490564,0.99379969307083,0.0036178422163669
NPM -> NPM,ExtraTrees,0.9742211460855528,0.0040598459266811,0.9875663909910486,0.0090812039017131,0.9606545320831034,0.0050629247108378,0.9738862404403552,0.0039520565837502,0.9925436786223958,0.004852538949579
NPM -> NPM,LightGBM,0.973543179983858,0.0039422310121066,0.9876029849455068,0.0090050267520874,0.959303180731752,0.0113235666236875,0.9731549401832484,0.0040147580742798,0.994869442537081,0.0031143131572596
NPM -> NPM,XGBoost,0.9728629078750144,0.0056723913631354,0.9876039231704256,0.0109980627584695,0.9579610222467366,0.0115977254155519,0.9724589892083768,0.0056726709111762,0.993834275758474,0.0042323824033786
NPM -> NPM,RandomForest,0.9701464314539376,0.0058483287375402,0.9849214168425992,0.0139381169364947,0.9552399338113624,0.0117669550925323,0.969717286173877,0.005762833780397,0.9936804046862356,0.0047337514139709
NPM -> NPM,LogisticRegression,0.9525077827741264,0.0088531215433701,0.9855428869513376,0.0090400968658641,0.9185787828644972,0.0166166647118917,0.9507781962994012,0.0094356204818731,0.9846366566483186,0.003716494386526
NPM -> NPM,LinearSVM,0.9511541565778854,0.0101879740317332,0.9732011840038508,0.0133506166623458,0.928093399521971,0.0189612445227714,0.9499432928074476,0.0107695618547546,0.9847073854362484,0.0039891828818395
PyPI -> PyPI,ExtraTrees,0.9599792459356624,0.0112048457851557,0.9670539589786163,0.0115143227469385,0.9525648097076668,0.0175208652830197,0.9596591166102432,0.0114094212131953,0.988084325474996,0.0051844174361377
PyPI -> PyPI,LightGBM,0.9552219531880548,0.0108132941400083,0.9603367711121608,0.0127306761399057,0.949834528405957,0.0144816562949089,0.954983846601033,0.010855269120891,0.9860780605678564,0.0077549326833489
PyPI -> PyPI,HistGradientBoosting,0.9545416810792112,0.009511522249033,0.9590747202905244,0.0130125444006418,0.949834528405957,0.013827782300899,0.9543377217355344,0.009534803998282,0.9863080698357664,0.0072585600001855
PyPI -> PyPI,XGBoost,0.95318805488297,0.0103731983642712,0.960568644352929,0.0206678187356363,0.9457620886192316,0.011953448429126,0.952916868449358,0.0101090525105008,0.9861203977822054,0.0073909442199608
PyPI -> PyPI,RandomForest,0.9525077827741268,0.0093579122544846,0.9640872123226464,0.0155231380638403,0.9403291046148188,0.0114895531248661,0.9519575010078888,0.0093420851000449,0.9858626848422766,0.0061473760059916
PyPI -> PyPI,CatBoost,0.9497913063530496,0.0114511160498879,0.9613481810402646,0.0162906615080412,0.9376172090457804,0.0167309763227642,0.9491914196933658,0.0115833045135086,0.9847743620338372,0.007149950277539
PyPI -> PyPI,LinearSVM,0.8439686383027787,0.0257778529199981,0.8333151105807826,0.0387140476200981,0.862998712998713,0.0213874677764128,0.8472703956672151,0.0218334183958706,0.9320051204890852,0.013876499708828
PyPI -> PyPI,LogisticRegression,0.8412567738959991,0.0258030704672205,0.8263279007787462,0.0320944756801927,0.8657014157014157,0.0186719856310449,0.8453182574589414,0.0227771824843261,0.9287519714633417,0.0176773805495691
