experiment,model,alignment,accuracy_mean,accuracy_std,precision_mean,malicious_recall_mean,f1_mean,f1_std,error_mean
NPM -> PyPI,XGBoost,source_threshold_no_alignment,0.5132971506105835,0.0241097512422725,0.5073791081828551,0.9919945725915876,0.6710140352268408,0.00704618105618,717.4
NPM -> PyPI,HistGradientBoosting,source_threshold_no_alignment,0.5005427408412484,0.0011880529657678,0.5002721552464969,1.0,0.6669083494290933,0.0005291057501247,736.2
NPM -> PyPI,LightGBM,source_threshold_no_alignment,0.5,0.0,0.5,1.0,0.6666666666666666,0.0,737.0
NPM -> PyPI,LinearSVM,source_threshold_no_alignment,0.4993215739484397,0.0,0.4996605566870332,0.9986431478968794,0.6660633484162896,0.0,738.0
NPM -> PyPI,CatBoost,source_threshold_no_alignment,0.4185210312075983,0.0546538518772946,0.4518217473460654,0.8044776119402985,0.5777256131243529,0.057987134384875,857.1
NPM -> PyPI,RandomForest,source_threshold_no_alignment,0.4771370420624151,0.0372634425213651,0.4848923738093036,0.6877883310719131,0.5657017028186476,0.0367011760639311,770.7
NPM -> PyPI,ExtraTrees,source_threshold_no_alignment,0.557055630936228,0.0495064596095749,0.9768456032719836,0.1280868385345997,0.2017972325236712,0.1559907315797531,652.9
NPM -> PyPI,LogisticRegression,source_threshold_no_alignment,0.494572591587517,0.0,0.25,0.005427408412483,0.0106241699867197,0.0,745.0
PyPI -> NPM,ExtraTrees,source_threshold_no_alignment,0.8753731343283582,0.0861052174949051,0.8741255432382988,0.9203527815468112,0.8876029463121075,0.0630731358306504,183.7
PyPI -> NPM,LightGBM,source_threshold_no_alignment,0.8845318860244233,0.0539383555647453,0.908290832839818,0.8796472184531886,0.8874311023304017,0.0402250879113149,170.2
PyPI -> NPM,XGBoost,source_threshold_no_alignment,0.801763907734057,0.0044865117205381,0.7311656245902072,0.9546811397557666,0.8280232353086326,0.0048683208311556,292.2
PyPI -> NPM,RandomForest,source_threshold_no_alignment,0.6033921302578019,0.1340082561603705,0.5744616665093736,0.9796472184531886,0.7188838515189631,0.0753220071289411,584.6
PyPI -> NPM,CatBoost,source_threshold_no_alignment,0.7809362279511534,0.1532894117865783,0.8654812036716033,0.6739484396200814,0.6956453000252983,0.296700797652781,322.9
PyPI -> NPM,LinearSVM,source_threshold_no_alignment,0.5404341926729986,0.0313028260194454,0.522114070344754,0.9834464043419266,0.6818490595248805,0.0136999902369021,677.4
PyPI -> NPM,LogisticRegression,source_threshold_no_alignment,0.5027137042062415,0.0,0.501360544217687,1.0,0.6678749433620299,0.0,733.0
PyPI -> NPM,HistGradientBoosting,source_threshold_no_alignment,0.6188602442333785,0.0174226244284582,0.636936567673415,0.5511533242876527,0.5906828484400318,0.0266763967380131,561.8
