experiment,seed,feature_group,n_features,model,alignment,source_threshold,target_threshold,source_oof_f1,source_pred_rate,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
NPM -> PyPI,0,all_features,129,RandomForest,rank_threshold_transfer,0.53,0.5971428571428572,0.9731219848380427,0.4843962008141113,0.6268656716417911,0.6268656716417911,0.6296809986130375,0.6160108548168249,0.6227709190672154,0.6524304590284056,470,267,283,454,550,0.5971428571428572
NPM -> PyPI,0,file_only,25,RandomForest,rank_threshold_transfer,0.4,0.7514285714285714,0.9733788395904437,0.49389416553595655,0.592944369063772,0.592944369063772,0.5937072503419972,0.5888738127544098,0.5912806539509536,0.7277707306565727,440,297,303,434,600,0.7514285714285714
NPM -> PyPI,0,network_only,24,RandomForest,rank_threshold_transfer,0.6,0.5628571428571428,0.9619377162629758,0.48032564450474896,0.4701492537313433,0.4701492537313433,0.47689075630252103,0.6160108548168249,0.5375962107756068,0.5304417225578042,239,498,283,454,781,0.5628571428571428
NPM -> PyPI,0,process_only,22,RandomForest,rank_threshold_transfer,0.58,0.28285714285714286,0.9680998613037448,0.47829036635006783,0.5746268656716418,0.5746268656716418,0.5692695214105793,0.6132971506105834,0.5904637491835402,0.6169810869176996,395,342,285,452,627,0.28285714285714286
NPM -> PyPI,0,permission_only,12,RandomForest,rank_threshold_transfer,0.54,0.3342857142857143,0.9406077348066298,0.48236092265943015,0.5461329715061058,0.5461329715061058,0.5469613259668509,0.5373134328358209,0.5420944558521561,0.5099103593909078,409,328,341,396,669,0.3342857142857143
NPM -> PyPI,0,ratios_only,11,RandomForest,rank_threshold_transfer,0.39,0.6942857142857143,0.9665071770334929,0.4925373134328358,0.5393487109905021,0.5393487109905021,0.5384615384615384,0.5508819538670285,0.5446009389671361,0.6102778324978045,389,348,331,406,679,0.6942857142857143
NPM -> PyPI,0,flags_only,3,RandomForest,rank_threshold_transfer,0.43,0.05614358253845475,0.9338959212376934,0.46472184531886024,0.5,0.5,0.5,1.0,0.6666666666666666,0.4953025669727102,0,737,0,737,737,0.05614358253845475
NPM -> PyPI,0,all_minus_file,104,RandomForest,rank_threshold_transfer,0.41,0.6057142857142858,0.9706083390293917,0.4925373134328358,0.601763907734057,0.6017639077340571,0.6021798365122616,0.5997286295793759,0.600951733514616,0.5978019732348496,445,292,295,442,587,0.6057142857142858
NPM -> PyPI,0,all_minus_network,105,RandomForest,rank_threshold_transfer,0.55,0.6371428571428571,0.9745354439091535,0.48575305291723203,0.6153324287652646,0.6153324287652646,0.6174033149171271,0.6065128900949797,0.6119096509240246,0.6389254541404241,460,277,290,447,567,0.6371428571428571
NPM -> PyPI,0,all_minus_process,107,RandomForest,rank_threshold_transfer,0.5,0.6657142857142857,0.9724896836313618,0.4864314789687924,0.5956580732700135,0.5956580732700136,0.5980528511821975,0.5834464043419267,0.5906593406593407,0.6726709366698024,448,289,307,430,596,0.6657142857142857
NPM -> PyPI,0,all_minus_ratios,118,RandomForest,rank_threshold_transfer,0.47,0.6171428571428571,0.9739010989010989,0.48778833107191316,0.596336499321574,0.596336499321574,0.5967302452316077,0.5943012211668928,0.5955132562882393,0.6615279958907818,441,296,299,438,595,0.6171428571428571
NPM -> PyPI,0,all_minus_flags,126,RandomForest,rank_threshold_transfer,0.53,0.6142857142857143,0.9731589814177564,0.48575305291723203,0.5997286295793759,0.5997286295793758,0.6013793103448276,0.5915875169606513,0.5964432284541724,0.6342464315894317,448,289,301,436,590,0.6142857142857143
PyPI -> NPM,0,all_features,129,ExtraTrees,mean_std_score_alignment,0.49,0.49,0.9631147540983607,0.4932157394843962,0.9355495251017639,0.9355495251017638,0.9863636363636363,0.8833107191316146,0.9319971367215462,0.9616693883487459,728,9,86,651,95,0.49
PyPI -> NPM,0,file_only,25,ExtraTrees,mean_std_score_alignment,0.49,0.49,0.9519230769230769,0.48778833107191316,0.7435549525101763,0.7435549525101763,0.6800401203610833,0.9199457259158752,0.7820069204152249,0.6972774587651358,418,319,59,678,378,0.49
PyPI -> NPM,0,network_only,24,ExtraTrees,mean_std_score_alignment,0.46,0.46,0.8131720430107527,0.5094979647218453,0.7632293080054274,0.7632293080054273,0.695959595959596,0.9348710990502035,0.7979154603358425,0.7833823358844116,436,301,48,689,349,0.46
PyPI -> NPM,0,process_only,22,ExtraTrees,mean_std_score_alignment,0.48,0.48,0.859448554135844,0.508819538670285,0.9341926729986432,0.9341926729986432,0.9761904761904762,0.8900949796472184,0.9311568488289567,0.9444141694389775,721,16,81,656,97,0.48
PyPI -> NPM,0,permission_only,12,ExtraTrees,mean_std_score_alignment,0.46,0.46,0.9012591119946984,0.5237449118046132,0.7408412483039348,0.7408412483039348,0.6748768472906403,0.9294436906377205,0.7819634703196348,0.8517919837104106,407,330,52,685,382,0.46
PyPI -> NPM,0,ratios_only,11,ExtraTrees,mean_std_score_alignment,0.45,0.45,0.9359673024523161,0.49592944369063774,0.7347354138398915,0.7347354138398914,0.6768916155419223,0.898236092265943,0.7720116618075802,0.8365195730978756,421,316,75,662,391,0.45
PyPI -> NPM,0,flags_only,3,ExtraTrees,mean_std_score_alignment,0.05,0.05,0.6965973534971645,0.9355495251017639,0.5,0.5,0.5,1.0,0.6666666666666666,0.4891451831750339,0,737,0,737,737,0.05
PyPI -> NPM,0,all_minus_file,104,ExtraTrees,mean_std_score_alignment,0.66,0.66,0.9472944483485594,0.4654002713704206,0.9430122116689281,0.9430122116689281,0.9939485627836612,0.8914518317503393,0.9399141630901288,0.9687445343898492,733,4,80,657,84,0.66
PyPI -> NPM,0,all_minus_network,105,ExtraTrees,mean_std_score_alignment,0.49,0.49,0.957592339261286,0.4918588873812754,0.9369063772048847,0.9369063772048847,0.9777448071216617,0.8941655359565808,0.9340892983699504,0.9706306876865212,722,15,78,659,93,0.49
PyPI -> NPM,0,all_minus_process,107,ExtraTrees,mean_std_score_alignment,0.52,0.52,0.9574175824175825,0.48778833107191316,0.7578018995929444,0.7578018995929443,0.6919191919191919,0.9294436906377205,0.7932831499710481,0.9028580423404133,432,305,52,685,357,0.52
PyPI -> NPM,0,all_minus_ratios,118,ExtraTrees,mean_std_score_alignment,0.56,0.56,0.9635237439779766,0.48575305291723203,0.9382632293080054,0.9382632293080054,0.9835329341317365,0.8914518317503393,0.9352313167259787,0.964048942410189,726,11,80,657,91,0.56
PyPI -> NPM,0,all_minus_flags,126,ExtraTrees,mean_std_score_alignment,0.53,0.53,0.9593943565037852,0.48575305291723203,0.937584803256445,0.9375848032564451,0.9923664122137404,0.8819538670284939,0.9339080459770115,0.9607912086293584,732,5,87,650,92,0.53
NPM -> PyPI,1,all_features,129,RandomForest,rank_threshold_transfer,0.57,0.6771428571428572,0.9723756906077348,0.48236092265943015,0.6078697421981004,0.6078697421981004,0.6115007012622721,0.5915875169606513,0.6013793103448276,0.593834515592753,460,277,301,436,578,0.6771428571428572
NPM -> PyPI,1,file_only,25,RandomForest,rank_threshold_transfer,0.54,0.7828571428571428,0.9710344827586207,0.4837177747625509,0.5902306648575305,0.5902306648575305,0.5909712722298222,0.5861601085481682,0.5885558583106267,0.6768077706938357,438,299,305,432,604,0.7828571428571428
NPM -> PyPI,1,network_only,24,RandomForest,rank_threshold_transfer,0.63,0.5857142857142857,0.9651810584958217,0.47421981004070557,0.4701492537313433,0.4701492537313433,0.47689075630252103,0.6160108548168249,0.5375962107756068,0.529024115882902,239,498,283,454,781,0.5857142857142857
NPM -> PyPI,1,process_only,22,RandomForest,rank_threshold_transfer,0.54,0.2571428571428571,0.9674740484429065,0.48032564450474896,0.5563093622795116,0.5563093622795116,0.5486518171160609,0.6350067842605156,0.5886792452830188,0.5528555569261132,352,385,269,468,654,0.2571428571428571
NPM -> PyPI,1,permission_only,12,RandomForest,rank_threshold_transfer,0.61,0.32,0.9451007644197359,0.4762550881953867,0.5481682496607869,0.5481682496607869,0.550354609929078,0.5264586160108549,0.5381414701803051,0.45027698561589485,420,317,349,388,666,0.32
NPM -> PyPI,1,ratios_only,11,RandomForest,rank_threshold_transfer,0.63,0.7485714285714286,0.9666666666666667,0.4769335142469471,0.5759837177747625,0.5759837177747625,0.5677966101694916,0.6363636363636364,0.600127959053103,0.5349053425361168,380,357,268,469,625,0.7485714285714286
NPM -> PyPI,1,flags_only,3,RandomForest,rank_threshold_transfer,0.17,0.04447061610524088,0.9338959212376934,0.46472184531886024,0.5,0.5,0.5,1.0,0.6666666666666666,0.4953025669727102,0,737,0,737,737,0.04447061610524088
NPM -> PyPI,1,all_minus_file,104,RandomForest,rank_threshold_transfer,0.54,0.6114285714285714,0.968944099378882,0.4830393487109905,0.6132971506105834,0.6132971506105835,0.6108897742363878,0.6241519674355496,0.6174496644295302,0.6250909017267186,444,293,277,460,570,0.6114285714285714
NPM -> PyPI,1,all_minus_network,105,RandomForest,rank_threshold_transfer,0.56,0.6171428571428571,0.9723756906077348,0.48236092265943015,0.6153324287652646,0.6153324287652646,0.6180555555555556,0.6037991858887382,0.6108442004118051,0.6000673823432486,462,275,292,445,567,0.6171428571428571
NPM -> PyPI,1,all_minus_process,107,RandomForest,rank_threshold_transfer,0.33,0.68,0.9719753930280246,0.4925373134328358,0.6044776119402985,0.6044776119402986,0.6046195652173914,0.6037991858887382,0.6042090970807875,0.6329954397250211,446,291,292,445,583,0.68
NPM -> PyPI,1,all_minus_ratios,118,RandomForest,rank_threshold_transfer,0.57,0.6342857142857142,0.9723756906077348,0.48236092265943015,0.5725915875169606,0.5725915875169607,0.5750350631136045,0.5563093622795116,0.5655172413793104,0.6438898390740266,434,303,327,410,630,0.6342857142857142
NPM -> PyPI,1,all_minus_flags,126,RandomForest,rank_threshold_transfer,0.56,0.6714285714285714,0.9723756906077348,0.48236092265943015,0.5569877883310719,0.5569877883310719,0.556910569105691,0.5576662143826323,0.5572881355932203,0.6277889570281073,410,327,326,411,653,0.6714285714285714
PyPI -> NPM,1,all_features,129,ExtraTrees,mean_std_score_alignment,0.52,0.52,0.9587912087912088,0.48778833107191316,0.9341926729986432,0.9341926729986432,0.9848484848484849,0.8819538670284939,0.9305654974946314,0.968565952769764,727,10,87,650,97,0.52
PyPI -> NPM,1,file_only,25,ExtraTrees,mean_std_score_alignment,0.62,0.62,0.9513212795549374,0.4755766621438263,0.7225237449118046,0.7225237449118046,0.6592233009708738,0.921302578018996,0.7685342388228636,0.693719634220657,386,351,58,679,409,0.62
PyPI -> NPM,1,network_only,24,ExtraTrees,mean_std_score_alignment,0.59,0.59,0.803347280334728,0.4728629579375848,0.5753052917232022,0.5753052917232022,0.5782792665726375,0.5563093622795116,0.5670816044260027,0.7657358943533229,438,299,327,410,626,0.59
PyPI -> NPM,1,process_only,22,ExtraTrees,mean_std_score_alignment,0.58,0.58,0.8563611491108071,0.4918588873812754,0.9328358208955224,0.9328358208955223,0.9761194029850746,0.8873812754409769,0.929637526652452,0.9561094245069213,721,16,83,654,99,0.58
PyPI -> NPM,1,permission_only,12,ExtraTrees,mean_std_score_alignment,0.37,0.37,0.8948051948051948,0.5447761194029851,0.723202170963365,0.723202170963365,0.649954421148587,0.9674355495251018,0.777535441657579,0.676117377832682,353,384,24,713,408,0.37
PyPI -> NPM,1,ratios_only,11,ExtraTrees,mean_std_score_alignment,0.5,0.5,0.938101788170564,0.4864314789687924,0.7170963364993216,0.7170963364993216,0.652963671128107,0.926729986431479,0.7661245092540662,0.58819170460759,374,363,54,683,417,0.5
PyPI -> NPM,1,flags_only,3,ExtraTrees,mean_std_score_alignment,0.49,0.49,0.6969267139479906,0.9348710990502035,0.4891451831750339,0.4891451831750339,0.21428571428571427,0.008141112618724558,0.01568627450980392,0.4891451831750339,715,22,731,6,753,0.49
PyPI -> NPM,1,all_minus_file,104,ExtraTrees,mean_std_score_alignment,0.59,0.59,0.9477351916376306,0.4735413839891452,0.9369063772048847,0.9369063772048847,0.9893617021276596,0.8833107191316146,0.9333333333333333,0.954069543733166,730,7,86,651,93,0.59
PyPI -> NPM,1,all_minus_network,105,ExtraTrees,mean_std_score_alignment,0.52,0.52,0.9585635359116023,0.48236092265943015,0.9382632293080054,0.9382632293080054,0.9806547619047619,0.8941655359565808,0.9354151880766501,0.9589860614283954,724,13,78,659,91,0.52
PyPI -> NPM,1,all_minus_process,107,ExtraTrees,mean_std_score_alignment,0.54,0.54,0.9577269577269577,0.4789687924016282,0.7401628222523745,0.7401628222523745,0.6745562130177515,0.9280868385345997,0.781267846944603,0.8136270663458334,407,330,53,684,383,0.54
PyPI -> NPM,1,all_minus_ratios,118,ExtraTrees,mean_std_score_alignment,0.49,0.49,0.9636737491432488,0.4898236092265943,0.9348710990502035,0.9348710990502036,0.9748148148148148,0.89280868385346,0.9320113314447592,0.9723980934110746,720,17,79,658,96,0.49
PyPI -> NPM,1,all_minus_flags,126,ExtraTrees,mean_std_score_alignment,0.52,0.52,0.9607167470709855,0.4843962008141113,0.9396200814111262,0.9396200814111262,0.9969325153374233,0.8819538670284939,0.9359251259899208,0.9597731092901105,735,2,87,650,89,0.52
NPM -> PyPI,2,all_features,129,RandomForest,rank_threshold_transfer,0.54,0.6314285714285715,0.9751724137931035,0.4837177747625509,0.6037991858887382,0.6037991858887382,0.6061026352288488,0.592944369063772,0.5994513031550068,0.5914595641503841,453,284,300,437,584,0.6314285714285715
NPM -> PyPI,2,file_only,25,RandomForest,rank_threshold_transfer,0.52,0.8,0.9766162310866575,0.4864314789687924,0.5976933514246947,0.5976933514246947,0.6,0.5861601085481682,0.5929993136582018,0.6603662948364138,449,288,305,432,593,0.8
NPM -> PyPI,2,network_only,24,RandomForest,rank_threshold_transfer,0.63,0.5657142857142857,0.9638386648122392,0.4755766621438263,0.4701492537313433,0.4701492537313433,0.47689075630252103,0.6160108548168249,0.5375962107756068,0.5283530540218606,239,498,283,454,781,0.5657142857142857
NPM -> PyPI,2,process_only,22,RandomForest,rank_threshold_transfer,0.58,0.24571428571428572,0.9680998613037448,0.47829036635006783,0.5386702849389416,0.5386702849389416,0.521805661820964,0.9253731343283582,0.6673189823874756,0.4958263450233721,112,625,55,682,680,0.24571428571428572
