experiment,gamma,seed,method,alignment,n_features,models_used,source_threshold,target_threshold,source_pred_rate,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
NPM -> PyPI,0.0,0,Top5_RankFusion,rank_threshold_transfer,97,"XGBoost,ExtraTrees,CatBoost,LightGBM,HistGradientBoosting",0.51,0.5736092265943011,0.4864314789687924,0.7951153324287653,0.7951153324287652,0.7888446215139442,0.8059701492537313,0.7973154362416107,0.8099053885623074,578,159,143,594,302,0.5736092265943011
PyPI -> NPM,0.0,0,ExtraTrees,mean_std_score_alignment,97,,0.52,0.52,0.48846675712347354,0.9348710990502035,0.9348710990502035,0.9848714069591528,0.8833107191316146,0.9313304721030042,0.962987578451642,727,10,86,651,96,0.52
NPM -> PyPI,0.0,1,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,CatBoost,LightGBM,XGBoost,ExtraTrees",0.5,0.5785606321421142,0.49592944369063774,0.7842605156037992,0.7842605156037992,0.786593707250342,0.7801899592944369,0.7833787465940054,0.8065850591620656,581,156,162,575,318,0.5785606321421142
PyPI -> NPM,0.0,1,ExtraTrees,mean_std_score_alignment,97,,0.47,0.47,0.49592944369063774,0.9436906377204884,0.9436906377204886,0.9954545454545455,0.8914518317503393,0.9405869720830351,0.9639992341241859,734,3,80,657,83,0.47
NPM -> PyPI,0.0,2,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,CatBoost,ExtraTrees,LightGBM,XGBoost",0.51,0.5626832532784456,0.48778833107191316,0.7788331071913162,0.7788331071913162,0.7858136300417247,0.7666214382632293,0.7760989010989011,0.8462403045829199,583,154,172,565,326,0.5626832532784456
PyPI -> NPM,0.0,2,ExtraTrees,mean_std_score_alignment,97,,0.62,0.62,0.47489823609226595,0.9382632293080054,0.9382632293080054,0.9969230769230769,0.8792401628222524,0.9343907714491708,0.9643112916974275,735,2,89,648,91,0.62
NPM -> PyPI,0.0,3,Top5_RankFusion,rank_threshold_transfer,97,"LightGBM,HistGradientBoosting,ExtraTrees,XGBoost,CatBoost",0.51,0.5584124830393488,0.48778833107191316,0.7876526458616011,0.7876526458616011,0.7944444444444444,0.7761194029850746,0.785175017158545,0.8238550064528719,589,148,165,572,313,0.5584124830393488
PyPI -> NPM,0.0,3,ExtraTrees,mean_std_score_alignment,97,,0.61,0.61,0.4762550881953867,0.9382632293080054,0.9382632293080054,0.9969230769230769,0.8792401628222524,0.9343907714491708,0.9765468942447012,735,2,89,648,91,0.61
NPM -> PyPI,0.0,4,Top5_RankFusion,rank_threshold_transfer,97,"LightGBM,HistGradientBoosting,CatBoost,XGBoost,ExtraTrees",0.5,0.5564070758824602,0.494572591587517,0.7734056987788331,0.7734056987788331,0.7764060356652949,0.76797829036635,0.772169167803547,0.7880438684829214,574,163,171,566,334,0.5564070758824602
PyPI -> NPM,0.0,4,ExtraTrees,mean_std_score_alignment,97,,0.64,0.64,0.47218453188602444,0.9382632293080054,0.9382632293080054,0.9969230769230769,0.8792401628222524,0.9343907714491708,0.9764944243872533,735,2,89,648,91,0.64
NPM -> PyPI,0.0,0,Top5_RankFusion,rank_threshold_transfer,97,"XGBoost,ExtraTrees,CatBoost,LightGBM,HistGradientBoosting",0.51,0.5736092265943011,0.4864314789687924,0.7951153324287653,0.7951153324287652,0.7888446215139442,0.8059701492537313,0.7973154362416107,0.8099053885623074,578,159,143,594,302,0.5736092265943011
PyPI -> NPM,0.0,0,ExtraTrees,mean_std_score_alignment,97,,0.52,0.52,0.48846675712347354,0.9348710990502035,0.9348710990502035,0.9848714069591528,0.8833107191316146,0.9313304721030042,0.962987578451642,727,10,86,651,96,0.52
NPM -> PyPI,0.0,42,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,XGBoost,CatBoost,LightGBM,ExtraTrees",0.5,0.5304249229981828,0.49592944369063774,0.7951153324287653,0.7951153324287652,0.7975376196990424,0.7910447761194029,0.7942779291553134,0.8426309307048083,589,148,154,583,302,0.5304249229981828
PyPI -> NPM,0.0,42,ExtraTrees,mean_std_score_alignment,97,,0.52,0.52,0.4918588873812754,0.9423337856173677,0.9423337856173677,0.9924471299093656,0.8914518317503393,0.9392423159399571,0.9653312320843053,732,5,80,657,85,0.52
NPM -> PyPI,0.0,123,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,CatBoost,XGBoost,ExtraTrees,LightGBM",0.5,0.5144830154150918,0.49592944369063774,0.7842605156037992,0.7842605156037992,0.786593707250342,0.7801899592944369,0.7833787465940054,0.8403563163582605,581,156,162,575,318,0.5144830154150918
PyPI -> NPM,0.0,123,ExtraTrees,mean_std_score_alignment,97,,0.53,0.53,0.4871099050203528,0.9382632293080054,0.9382632293080054,0.9938837920489296,0.8819538670284939,0.9345794392523364,0.9676905346218212,733,4,87,650,91,0.53
NPM -> PyPI,0.5,0,Top5_RankFusion,rank_threshold_transfer,97,"CatBoost,XGBoost,ExtraTrees,LightGBM,HistGradientBoosting",0.51,0.5297829036635007,0.4864314789687924,0.7611940298507462,0.7611940298507462,0.7655172413793103,0.7530529172320217,0.759233926128591,0.8129909843897571,567,170,182,555,352,0.5297829036635007
PyPI -> NPM,0.5,0,ExtraTrees,mean_std_score_alignment,97,,0.51,0.51,0.4898236092265943,0.9362279511533242,0.9362279511533242,0.989345509893455,0.8819538670284939,0.9325681492109039,0.9628946055463401,730,7,87,650,94,0.51
NPM -> PyPI,0.5,42,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,CatBoost,LightGBM,XGBoost,ExtraTrees",0.5,0.529264418624774,0.49592944369063774,0.7991858887381276,0.7991858887381276,0.801641586867305,0.7951153324287653,0.7983651226158038,0.8402394098337718,592,145,151,586,296,0.529264418624774
PyPI -> NPM,0.5,42,ExtraTrees,mean_std_score_alignment,97,,0.54,0.54,0.48846675712347354,0.9430122116689281,0.9430122116689281,0.9939485627836612,0.8914518317503393,0.9399141630901288,0.9648341492242747,733,4,80,657,84,0.54
NPM -> PyPI,0.5,123,Top5_RankFusion,rank_threshold_transfer,97,"CatBoost,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM",0.5,0.551628222523745,0.49592944369063774,0.7842605156037992,0.7842605156037992,0.7858117326057299,0.7815468113975577,0.7836734693877551,0.8232944074496152,580,157,161,576,318,0.551628222523745
PyPI -> NPM,0.5,123,ExtraTrees,mean_std_score_alignment,97,,0.57,0.57,0.4796472184531886,0.9369063772048847,0.9369063772048847,0.9908536585365854,0.8819538670284939,0.9332376166547021,0.9642615834114245,731,6,87,650,93,0.57
NPM -> PyPI,1.0,0,Top5_RankFusion,rank_threshold_transfer,97,"ExtraTrees,XGBoost,LightGBM,CatBoost,HistGradientBoosting",0.51,0.5449796472184533,0.48575305291723203,0.7883310719131614,0.7883310719131615,0.7837116154873164,0.7964721845318861,0.7900403768506057,0.8085411722686677,575,162,150,587,312,0.5449796472184533
PyPI -> NPM,1.0,0,ExtraTrees,mean_std_score_alignment,97,,0.48,0.48,0.4966078697421981,0.9382632293080054,0.9382632293080054,0.9835329341317365,0.8914518317503393,0.9352313167259787,0.9702762860177956,726,11,80,657,91,0.48
NPM -> PyPI,1.0,42,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,XGBoost,CatBoost,LightGBM,ExtraTrees",0.51,0.5291329217978198,0.48846675712347354,0.7862957937584804,0.7862957937584804,0.7930555555555555,0.7747625508819539,0.7838023335621139,0.8093088891302707,588,149,166,571,315,0.5291329217978198
PyPI -> NPM,1.0,42,ExtraTrees,mean_std_score_alignment,97,,0.55,0.55,0.48575305291723203,0.9402985074626866,0.9402985074626866,0.996937212863706,0.8833107191316146,0.9366906474820144,0.969003201581828,735,2,86,651,88,0.55
NPM -> PyPI,1.0,123,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,LightGBM,XGBoost,CatBoost,RandomForest",0.51,0.5518648891965484,0.48846675712347354,0.7754409769335142,0.7754409769335142,0.7819444444444444,0.7639077340569878,0.7728208647906658,0.7951714843814724,580,157,174,563,331,0.5518648891965484
PyPI -> NPM,1.0,123,ExtraTrees,mean_std_score_alignment,97,,0.58,0.58,0.4796472184531886,0.9382632293080054,0.9382632293080054,0.9938837920489296,0.8819538670284939,0.9345794392523364,0.9640369756005959,733,4,87,650,91,0.58
NPM -> PyPI,1.5,0,Top5_RankFusion,rank_threshold_transfer,97,"ExtraTrees,LightGBM,CatBoost,XGBoost,HistGradientBoosting",0.51,0.5149148791628387,0.4871099050203528,0.7401628222523745,0.7401628222523745,0.7465181058495822,0.7272727272727273,0.7367697594501719,0.7938891947073563,555,182,201,536,383,0.5149148791628387
PyPI -> NPM,1.5,0,ExtraTrees,mean_std_score_alignment,97,,0.51,0.51,0.49118046132971505,0.9341926729986432,0.9341926729986432,0.9833836858006042,0.8833107191316146,0.9306647605432452,0.9668482553312137,726,11,86,651,97,0.51
NPM -> PyPI,1.5,42,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,XGBoost,LightGBM,CatBoost,ExtraTrees",0.5,0.5107865139579025,0.4966078697421981,0.7700135685210312,0.7700135685210312,0.7718579234972678,0.7666214382632293,0.7692307692307693,0.8480638622601806,570,167,172,565,339,0.5107865139579025
PyPI -> NPM,1.5,42,ExtraTrees,mean_std_score_alignment,97,,0.51,0.51,0.49050203527815467,0.9430122116689281,0.9430122116689281,0.9969558599695586,0.8887381275440976,0.93974175035868,0.9580471271372263,735,2,82,655,84,0.51
NPM -> PyPI,1.5,123,Top5_RankFusion,rank_threshold_transfer,97,"LightGBM,HistGradientBoosting,CatBoost,XGBoost,ExtraTrees",0.5,0.5454522441450083,0.4966078697421981,0.7876526458616011,0.7876526458616011,0.7896174863387978,0.7842605156037992,0.786929884275017,0.8469030817296274,583,154,159,578,313,0.5454522441450083
PyPI -> NPM,1.5,123,ExtraTrees,mean_std_score_alignment,97,,0.54,0.54,0.48507462686567165,0.937584803256445,0.9375848032564451,0.9923664122137404,0.8819538670284939,0.9339080459770115,0.9629120954988226,732,5,87,650,92,0.54
NPM -> PyPI,2.0,0,Top5_RankFusion,rank_threshold_transfer,97,"LightGBM,ExtraTrees,XGBoost,CatBoost,HistGradientBoosting",0.51,0.5497266964793646,0.48575305291723203,0.7781546811397557,0.7781546811397557,0.7863128491620112,0.7639077340569878,0.7749483826565726,0.8062969352080108,584,153,174,563,327,0.5497266964793646
PyPI -> NPM,2.0,0,ExtraTrees,mean_std_score_alignment,97,,0.52,0.52,0.49118046132971505,0.9369063772048847,0.9369063772048847,0.9893617021276596,0.8833107191316146,0.9333333333333333,0.9741397244688117,730,7,86,651,93,0.52
NPM -> PyPI,2.0,42,Top5_RankFusion,rank_threshold_transfer,97,"LightGBM,XGBoost,HistGradientBoosting,CatBoost,ExtraTrees",0.5,0.5665529512914028,0.49525101763907736,0.8093622795115333,0.8093622795115332,0.8123287671232877,0.8046132971506106,0.8084526244035446,0.8269976747568437,600,137,144,593,281,0.5665529512914028
PyPI -> NPM,2.0,42,ExtraTrees,mean_std_score_alignment,97,,0.53,0.53,0.48846675712347354,0.9443690637720489,0.9443690637720489,0.9969650986342944,0.8914518317503393,0.9412607449856734,0.9655171778949093,735,2,80,657,82,0.53
NPM -> PyPI,2.0,123,Top5_RankFusion,rank_threshold_transfer,97,"HistGradientBoosting,XGBoost,LightGBM,CatBoost,ExtraTrees",0.5,0.5512188655832715,0.4966078697421981,0.7727272727272727,0.7727272727272727,0.7745901639344263,0.7693351424694709,0.7719537100068073,0.8315423008308647,572,165,170,567,335,0.5512188655832715
PyPI -> NPM,2.0,123,ExtraTrees,mean_std_score_alignment,97,,0.51,0.51,0.4918588873812754,0.9389416553595658,0.9389416553595658,0.9938931297709923,0.8833107191316146,0.9353448275862069,0.9588857243325742,733,4,86,651,90,0.51
