experiment,seed,fusion_type,n_features,models_used,source_threshold,target_threshold,source_pred_rate,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
NPM -> PyPI,0,raw_score_mean,97,"ExtraTrees,XGBoost,LightGBM,CatBoost,HistGradientBoosting",0.5,0.5,0.4864314789687924,0.5318860244233379,0.5318860244233379,0.5165376495425756,0.9959294436906377,0.680259499536608,0.6762066686427244,50,687,3,734,690,0.5
NPM -> PyPI,0,source_zscore_mean,97,"ExtraTrees,XGBoost,LightGBM,CatBoost,HistGradientBoosting",0.11,0.11,0.48575305291723203,0.5597014925373134,0.5597014925373135,0.532069970845481,0.9905020352781547,0.692271218587008,0.6758421412120352,95,642,7,730,649,0.11
NPM -> PyPI,0,source_platt_calibrated_mean,97,"ExtraTrees,XGBoost,LightGBM,CatBoost,HistGradientBoosting",0.6,0.6,0.48575305291723203,0.5705563093622795,0.5705563093622795,0.539039039039039,0.9742198100407056,0.694055099081682,0.6545283328024979,123,614,19,718,633,0.6
NPM -> PyPI,0,percentile_rank_mean,97,"ExtraTrees,XGBoost,LightGBM,CatBoost,HistGradientBoosting",0.51,0.5449796472184533,0.48575305291723203,0.7883310719131614,0.7883310719131615,0.7837116154873164,0.7964721845318861,0.7900403768506057,0.8085411722686677,575,162,150,587,312,0.5449796472184533
NPM -> PyPI,1,raw_score_mean,97,"HistGradientBoosting,LightGBM,CatBoost,XGBoost,ExtraTrees",0.19,0.19,0.49796472184531887,0.5013568521031208,0.5013568521031208,0.5006793478260869,1.0,0.6672702580353101,0.6854689792679627,2,735,0,737,735,0.19
NPM -> PyPI,1,source_zscore_mean,97,"HistGradientBoosting,LightGBM,CatBoost,XGBoost,ExtraTrees",0.08,0.08,0.4864314789687924,0.5753052917232022,0.5753052917232022,0.5440826052422557,0.9294436906377205,0.6863727454909819,0.6838341289727506,163,574,52,685,626,0.08
NPM -> PyPI,1,source_platt_calibrated_mean,97,"HistGradientBoosting,LightGBM,CatBoost,XGBoost,ExtraTrees",0.18,0.18,0.49796472184531887,0.5020352781546812,0.5020352781546812,0.5010197144799456,1.0,0.667572463768116,0.6792664898033577,3,734,0,737,734,0.18
NPM -> PyPI,1,percentile_rank_mean,97,"HistGradientBoosting,LightGBM,CatBoost,XGBoost,ExtraTrees",0.5,0.5687924016282225,0.49592944369063774,0.7822252374491181,0.7822252374491181,0.7841530054644809,0.7788331071913162,0.7814840027229408,0.8024730792810342,579,158,163,574,321,0.5687924016282225
NPM -> PyPI,2,raw_score_mean,97,"HistGradientBoosting,CatBoost,ExtraTrees,LightGBM,XGBoost",0.42,0.42,0.48778833107191316,0.6037991858887382,0.6037991858887382,0.5602836879432624,0.9647218453188603,0.7088733798604188,0.7030270505128239,179,558,26,711,584,0.42
NPM -> PyPI,2,source_zscore_mean,97,"HistGradientBoosting,CatBoost,ExtraTrees,LightGBM,XGBoost",0.27,0.27,0.4837177747625509,0.6363636363636364,0.6363636363636364,0.5890168290522586,0.9023066485753053,0.7127545551982851,0.7028742435595551,273,464,72,665,536,0.27
NPM -> PyPI,2,source_platt_calibrated_mean,97,"HistGradientBoosting,CatBoost,ExtraTrees,LightGBM,XGBoost",0.53,0.53,0.4871099050203528,0.6031207598371777,0.6031207598371777,0.5633333333333334,0.9172320217096337,0.697986577181208,0.6907767195845124,213,524,61,676,585,0.53
NPM -> PyPI,2,percentile_rank_mean,97,"HistGradientBoosting,CatBoost,ExtraTrees,LightGBM,XGBoost",0.51,0.592984227744956,0.4871099050203528,0.8012211668928086,0.8012211668928086,0.8091922005571031,0.7883310719131614,0.7986254295532647,0.8309062188747884,600,137,156,581,293,0.592984227744956
NPM -> PyPI,3,raw_score_mean,97,"HistGradientBoosting,LightGBM,XGBoost,ExtraTrees,CatBoost",0.48,0.48,0.48575305291723203,0.5691994572591588,0.5691994572591588,0.5394126738794436,0.9470827679782904,0.6873461349089118,0.7835434275520141,141,596,39,698,635,0.48
NPM -> PyPI,3,source_zscore_mean,97,"HistGradientBoosting,LightGBM,XGBoost,ExtraTrees,CatBoost",0.05,0.05,0.48507462686567165,0.5861601085481682,0.5861601085481682,0.551417004048583,0.9240162822252375,0.6906693711967545,0.7827573002141137,183,554,56,681,610,0.05
NPM -> PyPI,3,source_platt_calibrated_mean,97,"HistGradientBoosting,LightGBM,XGBoost,ExtraTrees,CatBoost",0.54,0.54,0.48575305291723203,0.5739484396200815,0.5739484396200814,0.5432196669310071,0.9294436906377205,0.6856856856856857,0.7632348311483166,161,576,52,685,628,0.54
NPM -> PyPI,3,percentile_rank_mean,97,"HistGradientBoosting,LightGBM,XGBoost,ExtraTrees,CatBoost",0.51,0.5179045564087789,0.4891451831750339,0.7856173677069199,0.78561736770692,0.7919556171983356,0.7747625508819539,0.7832647462277091,0.8493544366486305,587,150,166,571,316,0.5179045564087789
NPM -> PyPI,4,raw_score_mean,97,"HistGradientBoosting,LightGBM,CatBoost,ExtraTrees,XGBoost",0.31,0.31,0.4932157394843962,0.5027137042062415,0.5027137042062415,0.501360544217687,1.0,0.6678749433620299,0.715581154300043,4,733,0,737,733,0.31
NPM -> PyPI,4,source_zscore_mean,97,"HistGradientBoosting,LightGBM,CatBoost,ExtraTrees,XGBoost",0.13,0.13,0.48507462686567165,0.5827679782903663,0.5827679782903663,0.5466360856269113,0.9701492537313433,0.6992665036674817,0.7158499472539853,144,593,22,715,615,0.13
