direction,seed,selected_rank,feature
NPM -> PyPI,0,1,spawned_shell
NPM -> PyPI,0,2,shell_plus_network
NPM -> PyPI,0,3,shell_plus_sensitive_path
NPM -> PyPI,0,4,memory_ratio
NPM -> PyPI,0,5,error_unique_count
NPM -> PyPI,0,6,unique_syscalls
NPM -> PyPI,0,7,connect_unix_socket_count
NPM -> PyPI,0,8,process_ratio
NPM -> PyPI,0,9,exec_shell_count
NPM -> PyPI,0,10,execve_count
NPM -> PyPI,0,11,permission_ratio
NPM -> PyPI,0,12,num_processes_with_shell
NPM -> PyPI,0,13,failed_execve_count
NPM -> PyPI,0,14,exec_ratio
NPM -> PyPI,0,15,late_chmod_count
NPM -> PyPI,0,16,late_process_count
NPM -> PyPI,0,17,tmp_write_open_count
NPM -> PyPI,0,18,late_other_count
NPM -> PyPI,0,19,late_permission_count
NPM -> PyPI,0,20,fchmodat_count
NPM -> PyPI,0,21,mkdirat_count
NPM -> PyPI,0,22,socket_count
NPM -> PyPI,0,23,tmp_path_count
NPM -> PyPI,0,24,write_open_count
NPM -> PyPI,0,25,first_connect_offset
NPM -> PyPI,0,26,late_memory_count
NPM -> PyPI,0,27,permission_syscall_count
NPM -> PyPI,0,28,tmp_chmod_count
NPM -> PyPI,0,29,uses_curl_shell_pattern
NPM -> PyPI,0,30,faccessat_count
NPM -> PyPI,0,31,readlinkat_count
NPM -> PyPI,0,32,total_syscalls
NPM -> PyPI,0,33,late_execve_count
NPM -> PyPI,0,34,openat_count
NPM -> PyPI,0,35,late_file_count
NPM -> PyPI,0,36,memory_syscall_count
NPM -> PyPI,0,37,chmod_path_count
NPM -> PyPI,0,38,middle_other_count
NPM -> PyPI,0,39,failed_syscall_count
NPM -> PyPI,0,40,process_syscall_count
NPM -> PyPI,0,41,port_80_count
NPM -> PyPI,0,42,early_other_count
NPM -> PyPI,0,43,sensitive_path_count
NPM -> PyPI,0,44,exec_downloader_count
NPM -> PyPI,0,45,early_permission_count
NPM -> PyPI,0,46,failed_open_count
NPM -> PyPI,0,47,middle_execve_count
NPM -> PyPI,0,48,touched_env_file
NPM -> PyPI,0,49,write_count
NPM -> PyPI,0,50,middle_write_count
NPM -> PyPI,0,51,hidden_path_count
NPM -> PyPI,0,52,EEXIST_count
NPM -> PyPI,0,53,middle_permission_count
NPM -> PyPI,0,54,ENETUNREACH_count
NPM -> PyPI,0,55,path_total_count
NPM -> PyPI,0,56,home_path_count
NPM -> PyPI,0,57,uses_base64_keyword
NPM -> PyPI,0,58,touched_ssh
NPM -> PyPI,0,59,uses_wget_shell_pattern
