experiment,feature_group,model,alignment,n_features,accuracy_mean,accuracy_std,precision_mean,malicious_recall_mean,f1_mean,f1_std,total_error_mean,fp_mean,fn_mean
NPM -> PyPI,flags_only,RandomForest,rank_threshold_transfer,3,0.5,0.0,0.5,1.0,0.6666666666666666,0.0,737.0,737.0,0.0
NPM -> PyPI,file_only,RandomForest,rank_threshold_transfer,25,0.6093622795115332,0.06389206383894024,0.6104543436262568,0.6048846675712347,0.6075843511716854,0.06397124029102882,575.8,284.6,291.2
NPM -> PyPI,all_minus_file,RandomForest,rank_threshold_transfer,104,0.6074626865671642,0.008498849059740937,0.6078148465311982,0.6062415196743556,0.6069792392333604,0.007895771273204597,578.6,288.4,290.2
NPM -> PyPI,all_minus_network,RandomForest,rank_threshold_transfer,105,0.6078018995929444,0.012384037369888912,0.610338603510778,0.596336499321574,0.6032495699072673,0.012604553802082226,578.1,280.6,297.5
NPM -> PyPI,all_minus_flags,RandomForest,rank_threshold_transfer,126,0.6029172320217097,0.016871619177312867,0.6048209210543739,0.5944369063772049,0.5995533845977083,0.01574253584830016,585.3,286.4,298.9
NPM -> PyPI,process_only,RandomForest,rank_threshold_transfer,22,0.5238127544097694,0.10019824286321628,0.5260689691857156,0.7039348710990503,0.5966573007846658,0.07824451149166209,701.9,483.7,218.2
NPM -> PyPI,ratios_only,RandomForest,rank_threshold_transfer,11,0.5801221166892809,0.023096286210057798,0.5751461326152263,0.6105834464043419,0.592026311113768,0.029385774924546623,618.9,331.9,287.0
NPM -> PyPI,all_minus_process,RandomForest,rank_threshold_transfer,107,0.5920624151967435,0.008333877958793466,0.5924078078610675,0.5902306648575305,0.591289736257208,0.00911498960131697,601.3,299.3,302.0
NPM -> PyPI,all_minus_ratios,RandomForest,rank_threshold_transfer,118,0.5883310719131615,0.015330360660438172,0.5894262946679805,0.5814111261872456,0.5853665023214697,0.01787054708841963,606.8,298.3,308.5
NPM -> PyPI,all_features,RandomForest,rank_threshold_transfer,129,0.5877883310719132,0.020630300526824238,0.589963233720867,0.5757123473541383,0.5827451530576917,0.02093900404247005,607.6,294.9,312.7
NPM -> PyPI,network_only,RandomForest,rank_threshold_transfer,24,0.4700814111261873,0.00021453715469258017,0.47683575007289986,0.6158751696065129,0.5375095754800366,0.0002739648597636038,781.1,498.0,283.1
NPM -> PyPI,permission_only,RandomForest,rank_threshold_transfer,12,0.5309362279511534,0.038131862816894076,0.5317304149393997,0.5431478968792401,0.536658740628195,0.03192780729236571,691.4,354.7,336.7
PyPI -> NPM,all_minus_file,ExtraTrees,mean_std_score_alignment,104,0.9383310719131615,0.0032370711184580465,0.9856199193783308,0.8896879240162823,0.9351830209594247,0.003280626471555498,90.9,9.6,81.3
PyPI -> NPM,all_minus_network,ExtraTrees,mean_std_score_alignment,105,0.9374491180461331,0.0009487189942742032,0.9791984901439654,0.8938941655359566,0.9346015265145395,0.0009187302045957302,92.2,14.0,78.2
PyPI -> NPM,all_minus_flags,ExtraTrees,mean_std_score_alignment,126,0.9380597014925373,0.0010138630380578714,0.991947552101123,0.8833107191316147,0.9344723185190711,0.0010383884167204762,91.3,5.3,86.0
PyPI -> NPM,all_features,ExtraTrees,mean_std_score_alignment,129,0.935549525101764,0.0017516885328843995,0.9844814925631894,0.8850746268656715,0.9321238491669599,0.0018137294342593633,95.0,10.3,84.7
PyPI -> NPM,all_minus_ratios,ExtraTrees,mean_std_score_alignment,118,0.9352103120759837,0.002078785200231785,0.9819071341851677,0.8868385345997286,0.931921030617582,0.002001575755277597,95.5,12.1,83.4
PyPI -> NPM,process_only,ExtraTrees,mean_std_score_alignment,22,0.9332428765264587,0.0008581486187702439,0.9758651724902299,0.8884667571234734,0.9301130347017217,0.0009364920271177579,98.4,16.2,82.2
PyPI -> NPM,all_minus_process,ExtraTrees,mean_std_score_alignment,107,0.7466757123473542,0.011111837278391296,0.6829642447255103,0.92157394843962,0.7844356864989044,0.007593812070665204,373.4,315.6,57.8
PyPI -> NPM,file_only,ExtraTrees,mean_std_score_alignment,25,0.7398914518317503,0.016722892541602842,0.6770562848742758,0.9191316146540027,0.7795866856298894,0.010531333546610793,383.4,323.8,59.6
PyPI -> NPM,permission_only,ExtraTrees,mean_std_score_alignment,12,0.7247625508819538,0.03898841845530356,0.665591996995685,0.8991858887381274,0.7638471464693344,0.047683333398179775,405.7,331.4,74.3
PyPI -> NPM,network_only,ExtraTrees,mean_std_score_alignment,24,0.7044097693351425,0.07150240822390629,0.6580277656978664,0.8324287652645861,0.7321613880238158,0.08781326899744901,435.7,312.2,123.5
PyPI -> NPM,ratios_only,ExtraTrees,mean_std_score_alignment,11,0.6844640434192673,0.13137214388882837,0.6295984653136569,0.8270013568521032,0.7126327438056508,0.16744481906374636,465.1,337.6,127.5
PyPI -> NPM,flags_only,ExtraTrees,mean_std_score_alignment,3,0.4989145183175034,0.0034325944750810103,0.4714285714285714,0.9008141112618725,0.6015686274509804,0.20585807513252977,738.6,665.5,73.1
