sample_id,registry,label,total_syscalls,unique_syscalls,count_execve,count_openat,count_socket,count_connect,file_syscall_ratio,network_syscall_ratio,process_syscall_ratio,failed_syscall_ratio,syscall_entropy,trace_file_count
pypi_sample_00,pypi,0,6,9,7,8,7,11,0.3146,0.0,0.187,0.0,0.0,8
pypi_sample_01,pypi,1,18,15,12,13,19,16,1.132,1.1266,1.1696,1.3814,1.3381,18
pypi_sample_02,pypi,0,4,8,6,10,5,8,0.3182,0.0088,0.7905,0.7451,0.2841,11
pypi_sample_03,pypi,1,16,9,16,15,16,13,1.0527,1.0954,1.457,1.2636,1.1986,21
pypi_sample_04,pypi,0,6,6,3,12,10,10,0.4872,0.3675,0.4139,0.317,0.3491,9
pypi_sample_05,pypi,1,19,17,15,14,14,20,1.2467,1.1569,1.0735,0.9027,1.1833,19
pypi_sample_06,pypi,0,6,7,7,8,4,7,0.1064,0.5611,0.1674,0.5243,0.7811,8
pypi_sample_07,pypi,1,13,16,15,13,17,21,1.0555,1.0893,0.8988,1.2598,0.8883,14
pypi_sample_08,pypi,0,10,5,10,11,8,9,0.8081,0.2908,0.2117,0.0417,0.4104,13
pypi_sample_09,pypi,1,17,13,13,14,17,15,1.1736,1.2142,1.0853,1.17,1.2516,17
pypi_sample_10,pypi,0,8,12,9,8,4,9,0.0,0.0,0.5737,0.5566,0.3625,5
pypi_sample_11,pypi,1,14,14,17,21,16,14,0.8274,1.126,1.1158,0.8921,1.2291,14
pypi_sample_12,pypi,0,10,10,10,6,9,8,0.2228,0.2552,0.0351,0.019,0.5986,9
pypi_sample_13,pypi,1,16,18,11,14,16,17,1.0257,1.3973,1.2126,0.8767,0.9673,19
pypi_sample_14,pypi,0,8,2,11,9,11,7,0.2461,0.0584,0.9942,0.3361,0.7969,8
pypi_sample_15,pypi,1,15,11,14,18,13,19,1.2043,0.879,1.0346,1.0652,1.1876,16
pypi_sample_16,pypi,0,5,6,5,4,8,10,0.0,0.3409,0.1975,0.1357,0.6134,8
pypi_sample_17,pypi,1,19,13,16,15,14,17,1.0813,1.2908,1.1482,0.9085,1.1745,17
pypi_sample_18,pypi,0,9,5,7,3,9,5,0.0,0.3252,0.6364,0.0,0.128,7
pypi_sample_19,pypi,1,12,16,13,14,17,14,1.2282,0.8972,0.857,0.7211,1.6653,16
