feature_order,feature
1,EACCES_count
2,EEXIST_count
3,EINVAL_count
4,ENETUNREACH_count
5,ENOENT_count
6,ENOTDIR_count
7,ETIMEDOUT_count
8,bind_count
9,brk_count
10,chmod_path_count
11,clone3_count
12,clone_count
13,close_count
14,connect_count
15,connect_ipv4_count
16,connect_ipv6_count
17,connect_unix_socket_count
18,early_chmod_count
19,early_connect_count
20,early_execve_count
21,early_file_count
22,early_memory_count
23,early_network_count
24,early_other_count
25,early_permission_count
26,early_process_count
27,early_write_count
28,error_unique_count
29,exec_downloader_count
30,exec_python_tool_count
31,exec_ratio
32,exec_remote_tool_count
33,exec_shell_count
34,execve_count
35,faccessat_count
36,failed_connect_count
37,failed_connect_ratio
38,failed_execve_count
39,failed_execve_ratio
40,failed_open_count
41,failed_open_ratio
42,failed_syscall_count
43,failed_syscall_ratio
44,fchmodat_count
45,file_ratio
46,file_syscall_count
47,first_chmod_offset
48,first_connect_offset
49,first_sensitive_path_offset
50,fstat_count
51,futex_count
52,getdents64_count
53,getrandom_count
54,hidden_path_count
55,home_path_count
56,late_chmod_count
57,late_execve_count
58,late_file_count
59,late_memory_count
60,late_other_count
61,late_permission_count
62,late_process_count
63,late_write_count
64,max_syscalls_in_one_process
65,memory_ratio
66,memory_syscall_count
67,middle_chmod_count
68,middle_connect_count
69,middle_execve_count
70,middle_file_count
71,middle_memory_count
72,middle_network_count
73,middle_other_count
74,middle_permission_count
75,middle_process_count
76,middle_write_count
77,mkdirat_count
78,mmap_count
79,mprotect_count
80,munmap_count
81,network_ratio
82,network_syscall_count
83,newfstatat_count
84,nonstandard_port_count
85,num_processes_with_connect
86,num_processes_with_shell
87,openat_count
88,path_total_count
89,permission_ratio
90,permission_syscall_count
91,port_443_count
92,port_80_count
93,process_ratio
94,process_syscall_count
95,read_count
96,readlinkat_count
97,recvfrom_count
98,recvmsg_count
99,renameat_count
100,sendto_count
101,sensitive_path_count
102,sequence_token_count
103,sequence_truncated
104,shell_plus_network
105,shell_plus_sensitive_path
106,socket_count
107,spawned_shell
108,statx_count
109,successful_connect_count
110,syscall_rate_per_second
111,tmp_chmod_count
112,tmp_exec_count
113,tmp_path_count
114,tmp_write_open_count
115,total_syscalls
116,touched_env_file
117,touched_git_config
118,touched_ssh
119,unique_ip_count
120,unique_port_count
121,unique_syscalls
122,unlinkat_count
123,uses_base64_keyword
124,uses_curl_shell_pattern
125,uses_wget_shell_pattern
126,wait4_count
127,write_count
128,write_open_count
129,write_ratio
