experiment,gamma,method,alignment,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,total_error_mean,total_error_std,fp_mean,fn_mean,n_features_mean
NPM -> PyPI,0.0,Top5_RankFusion,rank_threshold_transfer,0.7867198100407056,0.008140607821786001,0.7881347984223848,0.006289833077408694,0.7842605156037992,0.015419408258461996,0.7861386726109424,0.009473230549089757,314.375,11.999255929312579,155.375,159.0,97.0
NPM -> PyPI,0.5,Top5_RankFusion,rank_threshold_transfer,0.7815468113975577,0.019140754382178972,0.784323520284115,0.01810809670201856,0.7765716870194482,0.021468013181919144,0.7804241727107165,0.019766918862123495,322.0,28.21347195933177,157.33333333333334,164.66666666666666,97.0
NPM -> PyPI,1.0,Top5_RankFusion,rank_threshold_transfer,0.783355947535052,0.006929694005447575,0.7862372051624388,0.005970607166459507,0.7783808231569426,0.01658100658509582,0.7822211917344618,0.008717964556303696,319.3333333333333,10.214368964029717,156.0,163.33333333333334,97.0
NPM -> PyPI,1.5,Top5_RankFusion,rank_threshold_transfer,0.7659430122116689,0.02400516419668135,0.7693311718952159,0.021660505646969502,0.759384893713252,0.02917494965693374,0.764310137651986,0.0254395163468491,345.0,35.38361202590826,167.66666666666666,177.33333333333334,97.0
NPM -> PyPI,2.0,Top5_RankFusion,rank_threshold_transfer,0.7867480777928538,0.01977159022559424,0.7910772600732416,0.019315155996260446,0.7792853912256897,0.02210183939008705,0.7851182390223083,0.020263567600742403,314.3333333333333,29.14332399252586,151.66666666666666,162.66666666666666,97.0
PyPI -> NPM,0.0,ExtraTrees,mean_std_score_alignment,0.9386024423337856,0.0031194954331132158,0.9927871890125471,0.005141829666857203,0.8836499321573948,0.005115581787321855,0.9350302482286061,0.003325773842193485,90.5,4.59813626840888,4.75,85.75,97.0
PyPI -> NPM,0.5,ExtraTrees,mean_std_score_alignment,0.938715513342379,0.0037364793400855843,0.9913825770712338,0.0023466657388153513,0.885119855269109,0.0054836524889109945,0.9352399763185782,0.004061780785084249,90.33333333333333,5.507570547286103,5.666666666666667,84.66666666666667,97.0
PyPI -> NPM,1.0,ExtraTrees,mean_std_score_alignment,0.9389416553595659,0.0011750683904809475,0.9914513130147906,0.007025410149573217,0.8855721393034827,0.005136959154952756,0.9355004678201099,0.0010810327381115229,90.0,1.7320508075688772,5.666666666666667,84.33333333333333,97.0
PyPI -> NPM,1.5,ExtraTrees,mean_std_score_alignment,0.9382632293080054,0.0044487371263921445,0.9909019859946344,0.006903577770367518,0.8846675712347354,0.0035898932307524807,0.9347715189596455,0.004599687513427525,91.0,6.557438524302,6.0,85.0,97.0
PyPI -> NPM,2.0,ExtraTrees,mean_std_score_alignment,0.9400723654454998,0.0038576938284106683,0.9934066435109821,0.0038249720613568222,0.8860244233378562,0.004700273561923734,0.9366463019684046,0.004120842213923218,88.33333333333333,5.686240703077328,4.333333333333333,84.0,97.0
